experiment,dataset,state,metric,direction,model,n,mean,std,sk_group
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,erm,10,0.09327463656663895,0.017333244024406474,3
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,reweight,10,0.09678725078701973,0.04066214946508841,3
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,wrong_spec,10,0.09659127593040466,0.038809837484300724,3
acs_age,acs_employment,MD,higher_order_boundary_proxy_gap_scope_mean,lower,fairsmote,10,0.155775186419487,0.03303497982857456,4
acs_age,acs_employment,MD,main_abs_logit_mean,lower,proxy_exhaustive,10,0.15189432501792907,0.016020690012828763,1
acs_age,acs_employment,MD,main_abs_logit_mean,lower,repair_direct,10,0.15537503808736802,0.016261224812759035,1
acs_age,acs_employment,MD,main_abs_logit_mean,lower,score_only,10,0.4696614146232605,0.030711335253822355,2
acs_age,acs_employment,MD,main_abs_logit_mean,lower,no_interaction,10,0.43483887016773226,0.08450883116763011,2
acs_age,acs_employment,MD,main_abs_logit_mean,lower,reweight,10,0.6810477405786515,0.12664193668829435,3
acs_age,acs_employment,MD,main_abs_logit_mean,lower,adv,10,0.7425654888153076,0.06048799774653837,3
acs_age,acs_employment,MD,main_abs_logit_mean,lower,erm,10,0.9499098181724548,0.05730013287926217,4
acs_age,acs_employment,MD,main_abs_logit_mean,lower,wrong_spec,10,0.9848615884780884,0.12156179866290513,4
acs_age,acs_employment,MD,main_abs_logit_mean,lower,fairsmote,10,0.9580007195472717,0.06102354394470831,4
acs_age,acs_employment,MD,pair_abs_max,lower,proxy_exhaustive,10,0.3195097059011459,0.050119322864090626,1
acs_age,acs_employment,MD,pair_abs_max,lower,repair_direct,10,0.321417635679245,0.038513564426698635,1
acs_age,acs_employment,MD,pair_abs_max,lower,adv,10,1.261286014318466,0.4560330870500105,2
acs_age,acs_employment,MD,pair_abs_max,lower,score_only,10,1.320064866542816,0.18234609754871445,2
acs_age,acs_employment,MD,pair_abs_max,lower,no_interaction,10,1.1845078229904176,0.33402664459587467,2
acs_age,acs_employment,MD,pair_abs_max,lower,erm,10,1.8448868632316588,0.4140836072198344,3
acs_age,acs_employment,MD,pair_abs_max,lower,reweight,10,1.99241783618927,0.7601218271104762,3
acs_age,acs_employment,MD,pair_abs_max,lower,wrong_spec,10,1.8305514574050903,0.9458472698460803,3
acs_age,acs_employment,MD,pair_abs_max,lower,fairsmote,10,2.3604989886283874,0.3916973261982861,4
acs_age,acs_employment,MD,pair_abs_mean,lower,proxy_exhaustive,10,0.0385445386171341,0.002310953703684884,1
acs_age,acs_employment,MD,pair_abs_mean,lower,repair_direct,10,0.03828604891896248,0.0026041270116863875,1
acs_age,acs_employment,MD,pair_abs_mean,lower,adv,10,0.24308996945619582,0.07478095600204192,2
acs_age,acs_employment,MD,pair_abs_mean,lower,score_only,10,0.22471452206373216,0.020062972553665542,2
acs_age,acs_employment,MD,pair_abs_mean,lower,no_interaction,10,0.20387760624289514,0.04364934519904167,2
acs_age,acs_employment,MD,pair_abs_mean,lower,erm,10,0.29958504140377046,0.03136374920348134,3
acs_age,acs_employment,MD,pair_abs_mean,lower,reweight,10,0.30419591069221497,0.08722189039482187,3
acs_age,acs_employment,MD,pair_abs_mean,lower,fairsmote,10,0.361596542596817,0.08378690677260116,4
acs_age,acs_employment,MD,pair_abs_mean,lower,wrong_spec,10,0.46392946541309354,0.1805720403590752,5
acs_age,acs_employment,MD,pair_abs_q95,lower,proxy_exhaustive,10,0.10287707149982453,0.00606955130550785,1
acs_age,acs_employment,MD,pair_abs_q95,lower,repair_direct,10,0.10235190708190203,0.006529619712154248,1
acs_age,acs_employment,MD,pair_abs_q95,lower,adv,10,0.6160890191793442,0.18291316857004158,2
acs_age,acs_employment,MD,pair_abs_q95,lower,score_only,10,0.6048845887184143,0.0632927071108404,2
acs_age,acs_employment,MD,pair_abs_q95,lower,no_interaction,10,0.5438731625676155,0.12344340551470843,2
acs_age,acs_employment,MD,pair_abs_q95,lower,erm,10,0.7745947897434234,0.08690358624530534,3
acs_age,acs_employment,MD,pair_abs_q95,lower,reweight,10,0.7974040448665619,0.23033202137413453,3
acs_age,acs_employment,MD,pair_abs_q95,lower,wrong_spec,10,0.916258916258812,0.31058803205880225,3
acs_age,acs_employment,MD,pair_abs_q95,lower,fairsmote,10,0.8994666770100593,0.19123556130683209,3
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,proxy_exhaustive,10,0.12166785895824432,0.023204159974356126,1
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,repair_direct,10,0.10808896273374557,0.01974855663499406,1
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,blind,10,0.4525215566158295,0.0831742737345452,2
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,score_only,10,0.5877535313367843,0.060161232184270295,3
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,no_interaction,10,0.5540374696254731,0.04506980157143666,3
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,adv,10,0.6897366046905518,0.06362148458863749,4
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,erm,10,0.8622392654418946,0.06752872599791802,5
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,reweight,10,0.9030267119407653,0.1287940633012613,5
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,wrong_spec,10,0.9915450215339661,0.2385104870722043,5
acs_age,acs_employment,MD,proxy_effect_gap_max,lower,fairsmote,10,0.836015784740448,0.19485280573913719,5
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,proxy_exhaustive,10,0.03125337660312653,0.003023923370855985,1
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,repair_direct,10,0.029286878183484077,0.0018823372747990284,1
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,blind,10,0.1368674896657467,0.018983355572774318,2
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,adv,10,0.22621121555566787,0.05090846564622142,3
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,score_only,10,0.20609013736248016,0.017166903122795975,3
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,no_interaction,10,0.19133547469973564,0.0314272567630088,3
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,erm,10,0.25865807086229325,0.020244903740302092,4
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,reweight,10,0.2687517896294594,0.04730371439370799,4
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,fairsmote,10,0.27300140261650085,0.05731367604361161,4
acs_age,acs_employment,MD,proxy_effect_gap_mean,lower,wrong_spec,10,0.510441642999649,0.12784302930576527,5
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,score_only,10,0.04437596909701824,0.03255902477500815,1
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,proxy_exhaustive,10,0.03886864278465509,0.019611997191527095,1
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,repair_direct,10,0.03888407051563263,0.01981473319442615,1
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,no_interaction,10,0.04720143433660269,0.03181084285253818,1
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,reweight,10,0.1798538200557232,0.05122475361695798,2
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,blind,10,0.22667963728308677,0.0446180708942127,3
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,adv,10,0.5187790602445602,0.10109347395468608,4
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,erm,10,0.6397969484329223,0.027365919115414566,5
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,wrong_spec,10,0.7495725065469742,0.07481070171682205,6
acs_age,acs_employment,MD,proxy_score_gap_cond_mean,lower,fairsmote,10,0.71917924284935,0.06187343029288741,6
acs_intersectional_age_race,acs_employment,MD,D2age,lower,r1_joint_marginal,10,0.020663265883922578,0.0008938797142478128,1
acs_intersectional_age_race,acs_employment,MD,D2age,lower,r4_r1plus,10,0.021624591574072836,0.0012316213199312623,2
acs_intersectional_age_race,acs_employment,MD,D2age,lower,blind,10,0.09168129414319992,0.024605536095001195,3
acs_intersectional_age_race,acs_employment,MD,D2age,lower,wrong_d3,10,0.20044214874505997,0.020821423170250593,4
acs_intersectional_age_race,acs_employment,MD,D2age,lower,erm,10,0.3156277030706406,0.054072040848794536,5
acs_intersectional_age_race,acs_employment,MD,D2age,lower,adv,10,0.2818024277687073,0.06338075313064023,5
acs_intersectional_age_race,acs_employment,MD,D2age,lower,reweight,10,0.3412681743502617,0.063843508214381,6
acs_intersectional_age_race,acs_employment,MD,D2age,lower,r3_intersectional,10,0.34356098175048827,0.047086000897394564,6
acs_intersectional_age_race,acs_employment,MD,D2age,lower,no_effect,10,0.3604641258716583,0.032003089780373355,6
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,r4_r1plus,10,0.0051714773289859295,0.0012713935104104032,1
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,r3_intersectional,10,0.01192374899983406,0.0013451575080732313,2
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,blind,10,0.09111478514969348,0.022249486932740734,3
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,adv,10,0.1653117559850216,0.03829835489767278,4
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,erm,10,0.28203760385513305,0.07250438213302492,5
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,reweight,10,0.2479781463742256,0.09947312654846593,5
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,no_effect,10,0.22741317600011826,0.03939384627067179,5
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,wrong_d3,10,0.3446510940790176,0.09302982598851205,6
acs_intersectional_age_race,acs_employment,MD,D2ar,lower,r1_joint_marginal,10,0.41874231696128844,0.0774057605476722,7
acs_intersectional_age_race,acs_employment,MD,D2race,lower,r4_r1plus,10,0.008239234890788793,0.0017895604409405028,1
acs_intersectional_age_race,acs_employment,MD,D2race,lower,r1_joint_marginal,10,0.016625369153916835,0.0012901852112949842,2
acs_intersectional_age_race,acs_employment,MD,D2race,lower,blind,10,0.1011062391102314,0.02521854610265787,3
acs_intersectional_age_race,acs_employment,MD,D2race,lower,erm,10,0.15943205803632737,0.04185694790554312,4
acs_intersectional_age_race,acs_employment,MD,D2race,lower,adv,10,0.15380309000611306,0.03143996921992021,4
acs_intersectional_age_race,acs_employment,MD,D2race,lower,r3_intersectional,10,0.14082680493593216,0.03415625075361427,4
