"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","erm",10,0.425385883450508,0.0968476430988086,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_max","lower","wrong_spec",10,0.558114036917686,0.708176827622525,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","repair_direct",10,0.0382274828851223,0.0121268480924584,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","score_guard_global_interaction",10,0.0437745548784733,0.0154112990146687,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","no_interaction",10,0.0724539961665869,0.0181937263887839,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","score_only",10,0.0765138398855925,0.012850842229044,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","erm",10,0.093274636566639,0.0173332440244065,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","higher_order_boundary_proxy_gap_scope_mean","lower","wrong_spec",10,0.0965912759304047,0.0388098374843007,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","repair_direct",10,0.155375038087368,0.016261224812759,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","score_guard_global_interaction",10,0.155865393579006,0.0126936450516034,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","no_interaction",10,0.434838870167732,0.0845088311676301,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","score_only",10,0.46966141462326,0.0307113352538224,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","erm",10,0.949909818172455,0.0573001328792622,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","main_abs_logit_mean","lower","wrong_spec",10,0.984861588478088,0.121561798662905,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","score_guard_global_interaction",10,0.305278325080872,0.0414183196287942,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","repair_direct",10,0.321417635679245,0.0385135644266986,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","no_interaction",10,1.18450782299042,0.334026644595875,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","score_only",10,1.32006486654282,0.182346097548714,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","wrong_spec",10,1.83055145740509,0.94584726984608,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_max","lower","erm",10,1.84488686323166,0.414083607219834,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","repair_direct",10,0.0382860489189625,0.00260412701168639,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","score_guard_global_interaction",10,0.0388389218598604,0.002432219596465,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","no_interaction",10,0.203877606242895,0.0436493451990417,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","score_only",10,0.224714522063732,0.0200629725536655,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","erm",10,0.29958504140377,0.0313637492034813,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_mean","lower","wrong_spec",10,0.463929465413094,0.180572040359075,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","repair_direct",10,0.102351907081902,0.00652961971215425,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","score_guard_global_interaction",10,0.103575896844268,0.00550792367587936,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","no_interaction",10,0.543873162567616,0.123443405514708,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","score_only",10,0.604884588718414,0.0632927071108404,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","erm",10,0.774594789743423,0.0869035862453053,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","pair_abs_q95","lower","wrong_spec",10,0.916258916258812,0.310588032058802,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","repair_direct",10,0.108088962733746,0.0197485566349941,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","score_guard_global_interaction",10,0.11425799280405,0.0221063770316253,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","no_interaction",10,0.554037469625473,0.0450698015714367,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","score_only",10,0.587753531336784,0.0601612321842703,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","erm",10,0.862239265441895,0.067528725997918,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_max","lower","wrong_spec",10,0.991545021533966,0.238510487072204,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","proxy_effect_gap_mean","lower","repair_direct",10,0.0292868781834841,0.00188233727479903,1,"ScottKnottESD","2.0.3"
