experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,dp_age,10,0.050587629041869045,0.012646694022001309,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,dp_race,10,0.046692595147831896,0.015224062853589133,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,eod_age,10,0.011327694034962565,0.008766606468563788,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,eod_excess,10,0.03448260917075683,0.019377984391020304,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,eod_race,10,0.021486809781851413,0.013666265491760721,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,eodds_max_age,10,0.02505136939222851,0.015328390694137333,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,eodds_max_race,10,0.05450071305297437,0.01776242224191167,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,fpr_age,10,0.02279740536022946,0.017017968196934238,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,fpr_race,10,0.05431784754035393,0.01786825580108157,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,sAOD,10,0.0795487928417801,0.033702342841012006,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,sDP,10,0.11977119317125279,0.02487970863049401,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,sEOD,10,0.0577156824978857,0.025555339638848422,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,sEOdds_max,10,0.11118971624125296,0.0413847014795595,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,behavior,sFPR,10,0.11118971624125296,0.0413847014795595,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,mechanism,D2age,10,0.020663265883922578,0.0008938797142478128,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,mechanism,D2ar,10,0.41874231696128844,0.0774057605476722,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,mechanism,D2race,10,0.016625369153916835,0.0012901852112949842,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,mechanism,D3,10,0.11574343889951706,0.024248488946872992,lower
acs_intersectional_age_race,acs_employment,MD,r1_joint_marginal,mechanism,Gsub,10,0.08602868840098381,0.011955756217068368,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,accuracy,10,0.7103109849828544,0.002643720779944419,higher
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,aod_age,10,0.025285487386152234,0.0188316479792447,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,aod_excess,10,0.04726912911395806,0.020786370574451138,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,aod_race,10,0.07431804808535683,0.017168331544659826,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,auc,10,0.7571342534746482,0.00323784290124357,higher
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,bce,10,0.5640733674918254,0.0040031770407719025,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,dp_age,10,0.03984653045852558,0.02217371162161259,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,dp_race,10,0.08345064195374932,0.01747055738158569,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,eod_age,10,0.015662955322003402,0.00943711320504802,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,eod_excess,10,0.034842098976221966,0.01772959800659769,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,eod_race,10,0.04910485162668139,0.020163139515648697,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,eodds_max_age,10,0.03825095257833372,0.029494771787708443,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,eodds_max_race,10,0.09953124454403227,0.018994005464216215,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,fpr_age,10,0.034908019450301066,0.03272646174744405,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,fpr_race,10,0.09953124454403227,0.018994005464216215,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,sAOD,10,0.12274654415075933,0.02328130982280662,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,sDP,10,0.1523616975234335,0.01826056661756352,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,sEOD,10,0.08595698876790883,0.026389426833813356,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,sEOdds_max,10,0.1606122870991389,0.03060816581235194,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,behavior,sFPR,10,0.1606122870991389,0.03060816581235194,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,mechanism,D2age,10,0.34356098175048827,0.047086000897394564,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,mechanism,D2ar,10,0.01192374899983406,0.0013451575080732313,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,mechanism,D2race,10,0.14082680493593216,0.03415625075361427,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,mechanism,D3,10,0.01483024014160037,0.0009583793623588809,lower
acs_intersectional_age_race,acs_employment,MD,r3_intersectional,mechanism,Gsub,10,0.48473394513130186,0.07887278047202001,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,accuracy,10,0.7066453825233534,0.0035132304021367406,higher
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,aod_age,10,0.016596643620097787,0.007958373686668862,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,aod_excess,10,0.011768281622564786,0.008263492022951183,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,aod_race,10,0.03557450457597239,0.009499057684861782,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,auc,10,0.7513306597548876,0.0037013525500435122,higher
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,bce,10,0.5766617571253864,0.006988546879179149,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,dp_age,10,0.05277038840994384,0.009207040621438237,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,dp_race,10,0.04609975443481833,0.009530795696483485,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,eod_age,10,0.013667340842490095,0.011258936556453367,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,eod_excess,10,0.015656855091991394,0.012666085011529611,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,eod_race,10,0.01778898469217608,0.012491306387796506,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,eodds_max_age,10,0.023942577517758294,0.011211353334048477,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,eodds_max_race,10,0.0533600244597687,0.014976168541268188,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,fpr_age,10,0.01952594639770548,0.012560431197613575,lower
acs_intersectional_age_race,acs_employment,MD,r4_r1plus,behavior,fpr_race,10,0.0533600244597687,0.014976168541268188,lower
