experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_age,acs_employment,MD,score_only,mechanism,proxy_effect_gap_mean,10,0.20609013736248016,0.017166903122795975,lower
acs_age,acs_employment,MD,score_only,mechanism,proxy_score_gap_cond_mean,10,0.04437596909701824,0.03255902477500815,lower
acs_age,acs_employment,MD,wrong_spec,behavior,accuracy,10,0.7097278698780106,0.004570752364445433,higher
acs_age,acs_employment,MD,wrong_spec,behavior,aod_gap,10,0.14918733382258623,0.03022462191124722,lower
acs_age,acs_employment,MD,wrong_spec,behavior,auc,10,0.7480299567370299,0.005568850757359058,higher
acs_age,acs_employment,MD,wrong_spec,behavior,dp_gap,10,0.17016159296035765,0.02539246225380251,lower
acs_age,acs_employment,MD,wrong_spec,behavior,eod_gap,10,0.08983167140887724,0.020357548973844664,lower
acs_age,acs_employment,MD,wrong_spec,behavior,eodds_max_gap,10,0.20854299623629519,0.04171206919912498,lower
acs_age,acs_employment,MD,wrong_spec,behavior,fpr_gap,10,0.20854299623629519,0.04171206919912498,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,boundary_proxy_effect_gap_max,10,1.0029264569282532,0.2899825816932065,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,boundary_proxy_effect_gap_mean,10,0.5251481026411057,0.13992094940824515,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,boundary_proxy_score_gap_cond_mean,10,0.05503886006772518,0.02498022667305004,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,cf_abs_prob_mean,10,0.16386221051216127,0.01663031357773282,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,cf_flip_rate,10,0.15599365234375,0.023206594160012896,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.5581140369176865,0.7081768276225252,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.09659127593040466,0.038809837484300724,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,main_abs_logit_mean,10,0.9848615884780884,0.12156179866290513,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,pair_abs_max,10,1.8305514574050903,0.9458472698460803,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,pair_abs_mean,10,0.46392946541309354,0.1805720403590752,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,pair_abs_q95,10,0.916258916258812,0.31058803205880225,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,proxy_effect_gap_max,10,0.9915450215339661,0.2385104870722043,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,proxy_effect_gap_mean,10,0.510441642999649,0.12784302930576527,lower
acs_age,acs_employment,MD,wrong_spec,mechanism,proxy_score_gap_cond_mean,10,0.7495725065469742,0.07481070171682205,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,accuracy,10,0.7127823105120019,0.004139521769931367,higher
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_age,10,0.05728403314987281,0.0263721205911397,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_excess,10,0.06280117321616316,0.024342788140487404,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_race,10,0.05613293888723824,0.022088973017608957,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,auc,10,0.756340114142583,0.0037567481280957327,higher
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_age,10,0.04158138139842171,0.020031942084980964,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_excess,10,0.03584359355231108,0.018166761747061024,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_race,10,0.03530260234572791,0.014971816855421727,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sAOD,10,0.13475947123419063,0.02914965751231485,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sEOD,10,0.08609561895836813,0.02147895895662987,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sEOdds_max,10,0.18525723982041606,0.04819387467537642,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2age,10,0.2818024277687073,0.06338075313064023,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2ar,10,0.1653117559850216,0.03829835489767278,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2race,10,0.15380309000611306,0.03143996921992021,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D3,10,0.15401091948151588,0.03783756158663251,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,Gsub,10,0.45918317437171935,0.09886093857554654,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,accuracy,10,0.706704505143668,0.004795116258118686,higher
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_age,10,0.04494839989719313,0.030050720028807373,lower
