"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","behavior","behavior_positive_rate_s1","descriptive_higher","reweight",120,0.665705504478438,0.0875445348741292,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","wrong_spec",120,0.97412151951897,0.0118077987936673,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","repair_main05",120,0.967755390902134,0.019671917649587,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","repair_main0",120,0.963967702003374,0.0260921372142021,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","no_interaction",120,0.963745942809104,0.0177450617666825,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","erm",120,0.958912082690497,0.0157333066051381,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","score_only",120,0.957632655250206,0.019434219744327,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","adv",120,0.95694774541073,0.018024512559939,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","blind",120,0.955168022096388,0.0197728953403882,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s0","descriptive_higher","reweight",120,0.845157043244285,0.0464605233525878,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","repair_main05",120,0.964216785492582,0.0249243362423108,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","no_interaction",120,0.958718849051718,0.0319814193073685,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","repair_main0",120,0.957933164092537,0.0346868961802435,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","score_only",120,0.935298657216238,0.0419662207525811,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","blind",120,0.926733200842655,0.0350557807572141,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","adv",120,0.898077212875708,0.0470557326436023,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","erm",120,0.897945188518159,0.0440617223452855,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","reweight",120,0.833461874306196,0.0690373644637676,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_tpr_s1","descriptive_higher","wrong_spec",120,0.828784593780644,0.0819542495924721,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","wrong_spec",120,0.629349727309226,0.0350023028530278,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","repair_main05",120,0.581371986645686,0.0487441057088666,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","repair_main0",120,0.568926519283499,0.0508612473946723,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","no_interaction",120,0.56213332691059,0.0455089765844103,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","score_only",120,0.536639157930178,0.0416676838245868,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","erm",120,0.530981074977433,0.0301731041595488,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","adv",120,0.528341128295353,0.0348899242109867,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","blind",120,0.523378585716458,0.0385708944811443,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s0","descriptive_higher","reweight",120,0.336325219808367,0.0422282025591863,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","repair_main05",120,0.576115243496788,0.0731874994063531,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","no_interaction",120,0.561211419301021,0.0849285682574631,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","repair_main0",120,0.559407942569502,0.0778638571891057,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","score_only",120,0.489820883692279,0.0904907947560292,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","blind",120,0.459639338480685,0.0652236097417371,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","adv",120,0.407665233318231,0.0719683389819094,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","erm",120,0.403889003678645,0.0664313390821361,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","wrong_spec",120,0.384717633202757,0.172025758225779,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_s1","descriptive_higher","reweight",120,0.333782180514537,0.0840318390537863,6,"ScottKnottESD","2.0.3"
