experiment,dataset,state,seed,model,feature,metric,value,panel,panel_title,model_label,feature_label,feature_order,model_order
hmda_race,hmda,PA,4,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1088124215602874,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,5,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1611700356006622,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,6,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.0878690555691719,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,7,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1868282407522201,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,8,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1816987842321396,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,9,no_interaction,loan_amount,pair_abs_mean__loan_amount,0.1442476958036422,hmda_pa,HMDA-PA Race,No-interaction,Loan amt.,2,3
hmda_race,hmda,PA,0,steering,loan_amount,pair_abs_mean__loan_amount,0.0013559826184064,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,1,steering,loan_amount,pair_abs_mean__loan_amount,0.0027901560533791,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,2,steering,loan_amount,pair_abs_mean__loan_amount,0.0030166946817189,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,3,steering,loan_amount,pair_abs_mean__loan_amount,0.0024786123540252,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,4,steering,loan_amount,pair_abs_mean__loan_amount,0.0024735094048082,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,5,steering,loan_amount,pair_abs_mean__loan_amount,0.0027931802906095,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,6,steering,loan_amount,pair_abs_mean__loan_amount,0.0035579223185777,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,7,steering,loan_amount,pair_abs_mean__loan_amount,0.0015448952326551,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,8,steering,loan_amount,pair_abs_mean__loan_amount,0.0037479058373719,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,9,steering,loan_amount,pair_abs_mean__loan_amount,0.0022683222778141,hmda_pa,HMDA-PA Race,"Interaction
steering",Loan amt.,2,4
hmda_race,hmda,PA,0,erm,property_value,pair_abs_mean__property_value,0.3465497493743896,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
hmda_race,hmda,PA,1,erm,property_value,pair_abs_mean__property_value,0.433759331703186,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
hmda_race,hmda,PA,2,erm,property_value,pair_abs_mean__property_value,0.4000033140182495,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
hmda_race,hmda,PA,3,erm,property_value,pair_abs_mean__property_value,0.3418625891208648,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
hmda_race,hmda,PA,4,erm,property_value,pair_abs_mean__property_value,0.3797234892845154,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
hmda_race,hmda,PA,5,erm,property_value,pair_abs_mean__property_value,0.3453602194786072,hmda_pa,HMDA-PA Race,ERM,Property value,3,0
